-2.000000000000000042e-02;1.668611536475036461e+00;1.492406816466139929e+00
-1.897959183673469247e-02;1.659090539716105983e+00;1.493662535522152446e+00
-1.795918367346938799e-02;1.649569542957175505e+00;1.494726138548079453e+00
-1.693877551020408351e-02;1.640048546198245027e+00;1.495597625543921172e+00
-1.591836734693877556e-02;1.630527549439314772e+00;1.496276996509677160e+00
-1.489795918367346934e-02;1.621006552680384294e+00;1.496764251445347638e+00
-1.387755102040816313e-02;1.611485555921453816e+00;1.497059390350932606e+00
-1.285714285714285691e-02;1.601964559162523338e+00;1.497162413226432065e+00
-1.183673469387755070e-02;1.592443562403592860e+00;1.497073320071846236e+00
-1.081632653061224449e-02;1.582922565644662605e+00;1.496792110887174676e+00
-9.795918367346938271e-03;1.573401568885732127e+00;1.496318785672417606e+00
-8.775510204081632057e-03;1.563880572126801649e+00;1.495653344427575027e+00
-7.755102040816325842e-03;1.554359575367871171e+00;1.494795787152647160e+00
-6.734693877551019628e-03;1.544838578608940916e+00;1.493746113847633561e+00
-5.714285714285713413e-03;1.535317581850010438e+00;1.492504324512534675e+00
-4.693877551020407199e-03;1.525796585091079960e+00;1.491070419147350057e+00
-3.673469387755100984e-03;1.516275588332149482e+00;1.489444397752079929e+00
-2.653061224489796505e-03;1.506754591573219004e+00;1.487626260326724514e+00
-1.632653061224488555e-03;1.497233594814288749e+00;1.485616006871283368e+00
-6.122448979591806062e-04;1.487712598055358271e+00;1.483413637385756934e+00
4.081632653061238736e-04;1.478191601296427793e+00;1.481019151870144990e+00
1.428571428571428353e-03;1.468670604537497315e+00;1.478432550324447314e+00
2.448979591836736303e-03;1.459149607778566837e+00;1.475653832748664351e+00
3.469387755102044252e-03;1.449628611019636582e+00;1.472682999142795657e+00
4.489795918367348732e-03;1.440107614260706104e+00;1.469520049506841675e+00
5.510204081632653211e-03;1.430586617501775626e+00;1.466164983840802183e+00
6.530612244897961161e-03;1.421065620742845148e+00;1.462617802144677182e+00
7.551020408163269110e-03;1.411544623983914670e+00;1.458878504418466449e+00
8.571428571428573590e-03;1.402023627224984414e+00;1.454947090662170428e+00
9.591836734693878069e-03;1.392502630466053937e+00;1.450823560875788898e+00
1.061224489795918602e-02;1.382981633707123459e+00;1.446507915059321858e+00
1.163265306122449397e-02;1.373460636948192981e+00;1.442000153212769309e+00
1.265306122448979845e-02;1.363939640189262725e+00;1.437300275336131250e+00
1.367346938775510293e-02;1.354418643430332247e+00;1.432408281429407682e+00
1.469387755102040741e-02;1.344897646671401770e+00;1.427324171492598603e+00
1.571428571428571883e-02;1.335376649912471292e+00;1.422047945525703794e+00
1.673469387755102331e-02;1.325855653153540814e+00;1.416579603528723696e+00
1.775510204081632779e-02;1.316334656394610558e+00;1.410919145501658090e+00
1.877551020408163920e-02;1.306813659635680080e+00;1.405066571444506973e+00
1.979591836734694368e-02;1.297292662876749603e+00;1.399021881357270569e+00
2.081632653061224816e-02;1.287771666117819125e+00;1.392785075239948434e+00
2.183673469387755264e-02;1.278250669358888647e+00;1.386356153092540788e+00
2.285714285714285712e-02;1.268729672599958391e+00;1.379735114915047633e+00
2.387755102040816854e-02;1.259208675841027913e+00;1.372921960707468969e+00
2.489795918367347302e-02;1.249687679082097436e+00;1.365916690469804795e+00
2.591836734693877750e-02;1.240166682323166958e+00;1.358719304202055334e+00
2.693877551020408892e-02;1.230645685564236480e+00;1.351329801904220140e+00
2.795918367346939340e-02;1.221124688805306224e+00;1.343748183576299438e+00
2.897959183673469788e-02;1.211603692046375746e+00;1.335974449218293447e+00
2.999999999999999889e-02;1.202082695287445269e+00;1.328008598830201725e+00
